playerIdOpta,playerNameOpta,playerNameWy,playerIdWy,Ratio,value
84450,Granit Xhaka,Granit Xhaka,49876,Dribble,1.6666666666666667
84583,Philippe Coutinho,Philippe Coutinho Correia,3802,Dribble,1.7567567567567568
84939,Danny Ings,Danny Ings,8955,Dribble,1.3333333333333333
85352,Bruno Martins Indi,Bruno Martins Indi,134,Dribble,
85368,Christopher Schindler,Christopher Schindler,15215,Dribble,1.0
85624,Christian Kabasele,Christian Kabasele,68085,Dribble,1.5
86417,Jeffrey Schlupp,Jeffrey Schlupp,8501,Dribble,1.12
86934,Manuel Lanzini,Manuel Lanzini,41174,Dribble,1.7619047619047619
87428,Elias Kachunga,Elias Kachunga,16122,Dribble,1.1538461538461537
87447,Muhamed Besic,Muhamed Bešić,14886,Dribble,
88482,Álvaro Morata,Álvaro Borja Morata Martín,3324,Dribble,1.42
88498,Benik Afobe,Benik Afobe,134351,Dribble,1.5
88894,Ross Barkley,Ross Barkley,8246,Dribble,3.0
88900,Jack Stephens,Jack Stephens,8136,Dribble,1.3157894736842106
89085,Nathaniel Chalobah,Nathaniel Chalobah,7888,Dribble,1.2727272727272727
90105,Ryan Fraser,Ryan Fraser,62224,Dribble,1.0357142857142858
90517,Robbie Brady,Robbie Brady,9623,Dribble,1.625
91972,Saido Berahino,Saido Berahino,9532,Dribble,1.3333333333333333
92170,Massadio Haidara,Massadio Haïdara,26109,Dribble,
92217,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,15808,Dribble,2.054054054054054
92383,Nahki Wells,Nahki Wells,9179,Dribble,
93001,Konstantinos Stafylidis,Konstantinos Stafylidis,92947,Dribble,2.0
93127,Jesé,Jesé Rodríguez Ruiz,3326,Dribble,1.875
93264,Eric Dier,Eric Dier,210044,Dribble,2.4285714285714284
93464,Tom Carroll,Tom Carroll,8976,Dribble,1.3125
94245,Michy Batshuayi,Michy Batshuayi Tunga,38093,Dribble,1.6
